sid,run,template,seed,outcome,contact,impact_speed_ms,ttc_min_s,min_clearance_m,speed_at_crit_ms,ego_vmax_ms,t_crit_s,n_steps
0,0,lead_decel,20260722,completed,0,0.0,10.0,35.7097,0.0073,4.7546,0.0,186
0,1,lead_decel,20260723,completed,0,0.0,10.0,35.7097,0.0073,4.712,0.0,167
0,2,lead_decel,20260724,completed,0,0.0,8.8604,35.7097,12.1893,12.2073,7.7,166
0,3,lead_decel,20260725,completed,0,0.0,10.0,35.7097,0.0073,0.8018,0.0,199
0,4,lead_decel,20260726,completed,0,0.0,8.423,35.7097,12.0177,12.2653,8.2,169
1,0,lead_decel,20261722,completed,0,0.0,6.6195,36.7957,12.6694,12.9387,8.4,169
1,1,lead_decel,20261723,out_of_lane,0,0.0,8.1826,41.5,12.6052,12.6479,6.95,160
1,2,lead_decel,20261724,completed,0,0.0,10.0,41.5,0.0073,4.9327,0.0,171
1,3,lead_decel,20261725,completed,0,0.0,10.0,41.5,0.0073,5.1368,0.0,175
1,4,lead_decel,20261726,completed,0,0.0,7.7545,39.3907,12.1929,12.4275,8.35,168
2,0,lead_decel,20262722,collision,0,0.0,8.0581,45.009,12.382,13.1905,5.65,143
2,1,lead_decel,20262723,collision,0,0.0,5.9672,33.7128,12.3619,12.9348,7.95,165
2,2,lead_decel,20262724,completed,0,0.0,7.281,37.6747,11.6421,11.9669,8.45,170
2,3,lead_decel,20262725,collision,0,0.0,8.3415,44.727,11.8237,11.8606,7.0,167
2,4,lead_decel,20262726,completed,0,0.0,6.1566,40.4066,13.023,13.0265,7.55,166
3,0,lead_decel,20263722,completed,0,0.0,10.0,41.5,11.9767,12.0346,6.85,170
3,1,lead_decel,20263723,collision,0,0.0,10.0,41.5,11.5514,11.9384,7.25,169
3,2,lead_decel,20263724,out_of_lane,0,0.0,10.0,41.5,12.2758,12.3568,6.5,155
3,3,lead_decel,20263725,completed,0,0.0,10.0,41.5,0.0073,1.5189,0.0,182
3,4,lead_decel,20263726,completed,0,0.0,10.0,41.5,12.381,12.5599,8.3,168
4,0,lead_decel,20264722,completed,0,0.0,10.0,24.9872,0.0073,5.235,0.0,164
4,1,lead_decel,20264723,completed,0,0.0,2.1088,17.4191,11.9276,11.9276,8.05,162
4,2,lead_decel,20264724,completed,1,12.8562,0.0,0.0,12.8561,13.2593,7.95,160
4,3,lead_decel,20264725,completed,0,0.0,10.0,24.9872,0.0073,0.6763,0.0,180
4,4,lead_decel,20264726,completed,0,0.0,0.6051,7.8542,12.9773,13.0647,7.85,158
5,0,lead_decel,20265722,completed,0,0.0,10.0,30.3239,0.0073,0.6379,0.0,189
5,1,lead_decel,20265723,completed,0,0.0,1.8981,13.7182,12.4748,12.673,7.95,160
5,2,lead_decel,20265724,completed,0,0.0,0.8142,8.0853,12.041,12.381,8.15,164
5,3,lead_decel,20265725,completed,0,0.0,2.2373,17.1378,12.9087,12.9087,8.05,162
5,4,lead_decel,20265726,completed,0,0.0,1.4553,11.6611,12.0536,12.4823,8.15,164
6,0,lead_decel,20266722,completed,0,0.0,2.3471,21.7829,11.9947,12.9453,8.3,167
6,1,lead_decel,20266723,completed,0,0.0,10.0,29.1537,0.0073,1.3945,0.0,37
6,2,lead_decel,20266724,completed,0,0.0,10.0,29.1537,0.0073,0.6799,0.0,197
6,3,lead_decel,20266725,completed,0,0.0,6.1668,29.1537,12.2864,12.335,7.85,169
6,4,lead_decel,20266726,completed,0,0.0,3.6341,24.9924,12.1777,12.7218,8.3,167
7,0,lead_decel,20267722,completed,0,0.0,4.6408,29.4523,12.5659,12.8212,8.4,169
7,1,lead_decel,20267723,completed,0,0.0,5.463,37.9693,13.1632,13.2072,6.75,162
7,2,lead_decel,20267724,completed,0,0.0,5.4101,35.2258,12.7227,12.8121,7.45,167
7,3,lead_decel,20267725,completed,0,0.0,4.893,32.1972,12.794,13.0442,7.55,168
7,4,lead_decel,20267726,completed,0,0.0,4.2764,26.9014,12.5105,13.176,8.35,168
8,0,lead_decel,20268722,completed,1,12.3624,0.0,0.0,12.3624,13.0301,7.9,159
8,1,lead_decel,20268723,completed,0,0.0,1.3627,14.3888,12.8462,12.8462,8.2,165
8,2,lead_decel,20268724,completed,0,0.0,1.3175,13.6922,11.9256,11.9256,8.1,163
8,3,lead_decel,20268725,completed,0,0.0,0.218,2.6921,12.3471,12.7519,8.05,162
8,4,lead_decel,20268726,completed,0,0.0,0.1558,2.0421,13.106,13.2489,8.0,161
9,0,lead_decel,20269722,completed,0,0.0,4.331,29.82,12.6261,12.6745,6.3,148
9,1,lead_decel,20269723,completed,0,0.0,4.1194,27.8562,12.5007,12.5663,7.15,161
9,2,lead_decel,20269724,completed,0,0.0,1.8238,18.3417,11.4713,11.7351,8.2,165
9,3,lead_decel,20269725,completed,0,0.0,1.0974,13.9179,12.6795,13.145,8.2,165
9,4,lead_decel,20269726,completed,0,0.0,10.0,34.5439,0.0073,4.8368,0.0,168
