sid,run,template,seed,outcome,contact,impact_speed_ms,ttc_min_s,min_clearance_m,speed_at_crit_ms,ego_vmax_ms,t_crit_s,n_steps
0,0,lead_decel,20260806,completed,0,0.0,0.5124,0.8556,2.7044,4.1881,11.2,801
0,1,lead_decel,20260807,completed,0,0.0,0.6837,1.3891,3.1584,4.2286,11.3,801
0,2,lead_decel,20260808,completed,0,0.0,0.6734,1.2763,2.6925,4.1815,11.3,801
0,3,lead_decel,20260809,completed,0,0.0,0.6159,1.2047,3.2822,4.1958,12.3,801
0,4,lead_decel,20260810,completed,0,0.0,0.6003,1.1204,3.0754,4.2263,12.5,801
1,0,lead_decel,20261806,completed,0,0.0,0.778,1.6528,3.0681,4.21,3.65,801
1,1,lead_decel,20261807,completed,0,0.0,0.7168,1.4933,3.2186,4.1472,3.7,801
1,2,lead_decel,20261808,completed,0,0.0,0.781,1.6581,3.0607,4.2101,3.65,801
1,3,lead_decel,20261809,completed,0,0.0,0.6732,1.3995,3.278,4.2464,3.7,801
1,4,lead_decel,20261810,completed,0,0.0,0.7647,1.6527,3.2159,4.2275,3.65,801
2,0,lead_decel,20262806,completed,0,0.0,0.6369,1.2764,3.2723,4.1913,13.5,801
2,1,lead_decel,20262807,completed,0,0.0,0.5943,1.1174,3.0529,4.1878,13.6,801
2,2,lead_decel,20262808,completed,0,0.0,0.6143,1.2184,3.5316,4.1843,13.05,801
2,3,lead_decel,20262809,completed,0,0.0,0.5795,1.0934,3.4392,4.1948,13.15,801
2,4,lead_decel,20262810,completed,0,0.0,0.7133,1.5202,3.4678,4.1921,13.35,801
3,0,lead_decel,20263806,completed,0,0.0,0.5528,1.0013,2.9943,4.191,3.55,801
3,1,lead_decel,20263807,completed,0,0.0,0.5409,0.9572,3.0368,4.2104,3.55,801
3,2,lead_decel,20263808,completed,0,0.0,0.6512,1.2894,3.2815,4.1997,3.55,801
3,3,lead_decel,20263809,completed,0,0.0,0.6966,1.4124,3.1004,4.2703,3.55,801
3,4,lead_decel,20263810,completed,0,0.0,0.5247,0.91,3.0958,4.1909,3.55,801
4,0,lead_decel,20264806,completed,0,0.0,0.7152,1.561,3.426,4.2327,4.8,801
4,1,lead_decel,20264807,completed,0,0.0,0.7633,1.7014,3.4605,4.2345,4.65,801
4,2,lead_decel,20264808,completed,0,0.0,0.7396,1.6157,3.4973,4.1885,4.75,801
4,3,lead_decel,20264809,completed,0,0.0,0.7816,1.7257,3.2932,4.2617,4.65,801
4,4,lead_decel,20264810,completed,0,0.0,0.7453,1.6016,3.2915,4.1768,4.85,801
5,0,lead_decel,20265806,completed,0,0.0,6.7641,12.5554,2.1426,4.21,0.05,801
5,1,lead_decel,20265807,completed,0,0.0,6.7641,12.388,2.1426,4.1909,0.05,801
5,2,lead_decel,20265808,completed,0,0.0,6.7641,12.7881,2.1426,4.1971,0.05,801
5,3,lead_decel,20265809,completed,0,0.0,6.7641,12.5672,2.1426,4.2425,0.05,801
5,4,lead_decel,20265810,completed,0,0.0,6.7641,12.4979,2.1426,4.1888,0.05,801
6,0,lead_decel,20266806,completed,0,0.0,9.3706,19.9645,2.1426,4.2122,0.05,801
6,1,lead_decel,20266807,completed,0,0.0,9.3706,19.9645,2.1426,4.1901,0.05,801
6,2,lead_decel,20266808,completed,0,0.0,9.3706,19.9645,2.1426,4.1974,0.05,801
6,3,lead_decel,20266809,completed,0,0.0,9.3706,19.9645,2.1426,4.1922,0.05,801
6,4,lead_decel,20266810,completed,0,0.0,9.3706,19.9645,2.1426,4.1987,0.05,801
7,0,lead_decel,20267806,completed,0,0.0,8.1372,17.3219,2.1426,4.1845,0.05,801
7,1,lead_decel,20267807,completed,0,0.0,8.1372,17.3219,2.1426,4.202,0.05,801
7,2,lead_decel,20267808,completed,0,0.0,8.1372,17.3219,2.1426,4.1867,0.05,801
7,3,lead_decel,20267809,completed,0,0.0,8.1372,17.3219,2.1426,4.1989,0.05,801
7,4,lead_decel,20267810,completed,0,0.0,8.1372,17.3219,2.1426,4.2066,0.05,801
8,0,lead_decel,20268806,completed,0,0.0,10.0,22.7681,2.1426,4.2049,0.05,801
8,1,lead_decel,20268807,completed,0,0.0,10.0,22.7681,2.1426,4.2034,0.05,801
8,2,lead_decel,20268808,completed,0,0.0,10.0,22.7681,2.1426,4.2359,0.05,801
8,3,lead_decel,20268809,completed,0,0.0,10.0,22.7681,2.1426,4.1965,0.05,801
8,4,lead_decel,20268810,completed,0,0.0,10.0,22.7681,2.1426,4.1864,0.05,801
9,0,lead_decel,20269806,completed,0,0.0,10.0,23.4074,2.1426,4.1829,0.05,801
9,1,lead_decel,20269807,completed,0,0.0,10.0,23.5465,2.1426,4.1997,0.05,801
9,2,lead_decel,20269808,completed,0,0.0,10.0,23.8961,2.1426,4.1918,0.05,801
9,3,lead_decel,20269809,completed,0,0.0,10.0,23.1983,2.1426,4.1914,0.05,801
9,4,lead_decel,20269810,completed,0,0.0,10.0,23.5235,2.1426,4.2011,0.05,801
10,0,lead_decel,20270806,completed,0,0.0,10.0,34.6318,2.1426,4.1853,0.05,801
10,1,lead_decel,20270807,completed,0,0.0,10.0,34.6318,2.1426,4.2109,0.05,801
10,2,lead_decel,20270808,completed,0,0.0,10.0,34.6318,2.1426,4.2067,0.05,801
10,3,lead_decel,20270809,completed,0,0.0,10.0,34.6318,2.1426,4.2101,0.05,801
10,4,lead_decel,20270810,completed,0,0.0,10.0,34.6318,2.1426,4.1898,0.05,801
11,0,lead_decel,20271806,completed,0,0.0,6.5165,13.8493,2.1426,4.1911,0.05,801
11,1,lead_decel,20271807,completed,0,0.0,6.5165,13.8493,2.1426,4.2232,0.05,801
11,2,lead_decel,20271808,completed,0,0.0,6.5165,13.8493,2.1426,4.2081,0.05,801
11,3,lead_decel,20271809,completed,0,0.0,6.5165,13.8493,2.1426,4.1902,0.05,801
11,4,lead_decel,20271810,completed,0,0.0,6.5165,13.8493,2.1426,4.2025,0.05,801
12,0,lead_decel,20272806,completed,0,0.0,0.5662,1.0403,3.256,4.2604,13.45,801
12,1,lead_decel,20272807,completed,0,0.0,0.549,0.9937,2.998,4.2101,13.65,801
12,2,lead_decel,20272808,completed,0,0.0,0.6448,1.3216,3.4308,4.1746,13.1,801
12,3,lead_decel,20272809,completed,0,0.0,0.6166,1.2273,3.5557,4.2108,13.15,801
12,4,lead_decel,20272810,completed,0,0.0,0.595,1.1558,3.3589,4.18,13.25,801
13,0,lead_decel,20273806,completed,0,0.0,0.7146,1.4358,3.0382,4.178,20.25,801
13,1,lead_decel,20273807,completed,0,0.0,0.5588,1.0013,3.2172,4.1831,20.75,801
13,2,lead_decel,20273808,completed,0,0.0,0.5955,1.1052,3.0732,4.2011,20.75,801
13,3,lead_decel,20273809,completed,0,0.0,0.5548,0.9679,2.6835,4.1943,20.5,801
13,4,lead_decel,20273810,completed,0,0.0,0.7044,1.3661,2.7091,4.195,20.45,801
14,0,lead_decel,20274806,completed,0,0.0,0.6723,1.4039,3.4642,4.2525,9.5,801
14,1,lead_decel,20274807,completed,0,0.0,0.5559,1.0119,3.1711,4.1902,9.35,801
14,2,lead_decel,20274808,completed,0,0.0,0.5552,1.015,3.1824,4.1916,9.75,801
14,3,lead_decel,20274809,completed,0,0.0,0.5225,0.9067,3.0313,4.2671,9.8,801
14,4,lead_decel,20274810,completed,0,0.0,0.5673,1.0605,3.3579,4.1715,9.4,801
15,0,lead_decel,20275806,completed,0,0.0,0.9413,2.4163,3.8558,4.2035,28.55,801
15,1,lead_decel,20275807,completed,0,0.0,0.7642,1.7397,3.5865,4.1966,27.85,801
15,2,lead_decel,20275808,completed,0,0.0,0.6474,1.3361,3.4872,4.1904,31.8,801
15,3,lead_decel,20275809,completed,0,0.0,0.7299,1.5443,3.2596,4.1894,27.75,801
15,4,lead_decel,20275810,completed,0,0.0,0.7358,1.5997,3.4728,4.2282,28.45,801
16,0,lead_decel,20276806,completed,0,0.0,10.0,15.1242,2.1426,4.2202,0.05,801
16,1,lead_decel,20276807,completed,0,0.0,10.0,14.5755,2.1426,4.2219,0.05,801
16,2,lead_decel,20276808,completed,0,0.0,10.0,14.575,2.1426,4.1944,0.05,801
16,3,lead_decel,20276809,completed,0,0.0,10.0,15.1512,2.1426,4.2101,0.05,801
16,4,lead_decel,20276810,completed,0,0.0,10.0,15.3513,2.1426,4.2101,0.05,801
17,0,lead_decel,20277806,completed,0,0.0,0.6767,1.4469,3.6752,4.1839,2.6,801
17,1,lead_decel,20277807,completed,0,0.0,0.673,1.4347,3.6984,4.1884,2.6,801
17,2,lead_decel,20277808,completed,0,0.0,0.6763,1.4428,3.6766,4.1843,2.6,801
17,3,lead_decel,20277809,completed,0,0.0,0.676,1.4419,3.6776,4.1852,2.6,801
17,4,lead_decel,20277810,completed,0,0.0,0.6009,1.1782,3.4988,4.1917,2.7,801
18,0,lead_decel,20278806,completed,0,0.0,10.0,32.8558,2.1426,4.213,0.05,801
18,1,lead_decel,20278807,completed,0,0.0,10.0,32.8558,2.1426,4.1936,0.05,801
18,2,lead_decel,20278808,completed,0,0.0,10.0,32.8558,2.1426,4.1921,0.05,801
18,3,lead_decel,20278809,completed,0,0.0,10.0,32.8558,2.1426,4.1853,0.05,801
