direction,labels,n,M,replays,cov90,cov90_sd,width90
openpilot->transfuser,zero-shot,0,0,0,0.78,0.0,0.06631739619389931
openpilot->transfuser,M30,10,30,300,0.9082142857142858,0.10349196458998099,0.09969188939198766
openpilot->transfuser,M30,25,30,750,0.9676,0.04535901233492634,0.12808249917201175
openpilot->transfuser,M30,50,30,1500,0.9015000000000001,0.02554897258208244,0.09095263339887566
openpilot->transfuser,M30,100,30,3000,0.9070000000000003,0.04990991885387112,0.09072164477925838
openpilot->transfuser,M100,10,100,1000,0.9125,0.10456115777039633,0.10110611521740745
openpilot->transfuser,M100,25,100,2500,0.968,0.041492167935647806,0.1282623786038902
openpilot->transfuser,M100,50,100,5000,0.909,0.028266588050205134,0.0922469096994992
openpilot->transfuser,M100,100,100,10000,0.9110000000000001,0.05038849074937648,0.09154781585987887
transfuser->openpilot,zero-shot,0,0,0,0.9066666666666666,0.0,0.05619250745538365
transfuser->openpilot,M30,10,30,300,0.9274999999999999,0.06297371495719627,0.11210722265978286
transfuser->openpilot,M30,25,30,750,0.9751999999999998,0.02849842100889101,0.1834452567376682
transfuser->openpilot,M30,50,30,1500,0.929,0.04073082370883259,0.09801629810247103
transfuser->openpilot,M30,100,30,3000,0.8919999999999998,0.04308131845707604,0.0616416335524245
transfuser->openpilot,M100,10,100,1000,0.9289285714285714,0.0673278227353723,0.11583766273798068
transfuser->openpilot,M100,25,100,2500,0.9776,0.026963679274164352,0.18634185661018146
transfuser->openpilot,M100,50,100,5000,0.9219999999999999,0.04093897898091743,0.08900083216805586
transfuser->openpilot,M100,100,100,10000,0.9019999999999999,0.0428485705712571,0.0620652795604677
